,filtered,pending,labels.verification.hasDachExclusion,hasUnhandledReports,report,language,id,consumer.imageUrl,consumer.displayName,labels.verification.verificationSource,dates.updatedDate,reply.updatedDate,reply.message,reply.publishedDate,consumer.hasImage,consumer.isVerified,location.id,location.urlFormattedName,text,rating,dates.publishedDate,dates.experiencedDate
8083,False,False,False,False,,en,67898c5b76a8d99a1bbd9ec3,,Michael Coon,invitation,,,,,False,False,,,$100 for delivery when i live 10-15 miles from the showroom. That is simply a money grab.,1,2025-01-17T00:46:51.000Z,2025-01-16T00:00:00.000Z
14630,False,False,False,False,,en,66df00b8044afa5a0d98962b,,Jim,invitation,,,,,False,False,ab851d98-ed6f-4624-b73c-420acb85fa2d,algonquin,Bill was very helpful!,5,2024-09-09T16:05:44.000Z,2024-09-09T00:00:00.000Z
36635,False,False,False,False,,en,63ba84422338b6d417b33ce1,,Chris Constantinou,invitation,,,"HI Chris,

Our Delivery charge is the same across the board, as this allows us to offer our great delivery service, where your furniture is assembled in a room of your choice by professionals and the packaging your furniture arrives in is then disposed of in a responsible manner.

Many thanks,

Lauren Siviter
DFS Head Office Customer Service
Tel: 0333 9999777
",2023-01-13T17:05:00.000Z,False,False,83a18cad-3656-4164-b369-06582bb3528c,sidcup,Only thing I didn’t like was the price of delivery.,3,2023-01-08T10:52:18.000Z,2023-01-01T00:00:00.000Z
26308,False,False,False,False,,en,5ee2b99d7dd7530828beab44,,Fabrizia Machiavelli,invitation,,,,,False,False,,,the plants were half dead and tiny.  for the price i would expect so much more.  i cannot use these plants for my clients.  so disappointed.,1,2020-06-11T23:09:17.000Z,
9923,False,False,False,False,,en,679a5d6e6d03efb698a718da,,Hal Buck,invitation,,,,,False,False,,,It was a great experience from start to finish,4,2025-01-29T18:55:10.000Z,2025-01-29T00:00:00.000Z
42927,False,False,False,False,,en,5a5e0d9e6116dd0d6473a309,https://user-images.trustpilot.com/54b68f4f0000ff0001a417d0/73x73.png,Nicole Callis,invitation,,,"Nicole, thank you for your feedback. A member from our team will be in contact with you regarding your experience.",2018-01-17T03:40:02.952Z,True,False,,,"Previously in the year, we had made a large purchase with Gardner White, and were supposed to have free delivery for a whole year. There was also a sale, and as such, we decided to return to Gardner White for our furniture needs. However, it turns out, there's a catch of course. After choosing our product, the salesman said we didn't spend enough this time to get free delivery. We expressed our disappointment over this issue, and the salesmen left to ""see what he could do"". In the end, he made it seem like he was was doing us a favor, when in fact, they just didn't give us the full discount from the sale and we paid roughly the same price w/ or w/out the sale to compensate for the delivery charge. 
To make matters worse, when our items were to be delivered, the delivery people had the wrong products. So in the end, we waited all day for a delivery, and ended up with no product. When we called to address this with the store, no one apologized for the trouble or inconvenience, and we ended up having to wait another week for what we actually paid for.",2,2018-01-16T14:35:10.000Z,
27414,False,False,False,False,,en,61623207d12ab8ef51627efe,,Dianne Cox,invitation,,,"Hi Dianne,
  I'm so sorry, but the bulbs had to travel from Holland and we are so glad that they did arrive even late.  Hopefully you will give us another chance. Stay Well! Pat",2021-10-11T02:05:25.512Z,False,False,,,I waited two weeks after ordering and not hearing a thing before I emailed support. I got a reply a day later saying the supplier had not gotten stock to Bluestone. Another week passed before I finally got a shipping email. Not sure I will order again from here.,2,2021-10-10T00:21:27.000Z,
42467,False,False,False,False,,en,67b39513d728f1f195b17d27,,Mrs Whiteley,invitation,,,"Good morning Mrs Whiteley,

Thank you so much for taking the time to write us a 5* review, your feedback is always appreciated. We are really happy to hear that you had a great experience in store with Reece. 

Kind regards,

Lia 
DFS Customer Support ",2025-02-18T09:25:42.000Z,False,False,2f51d0d0-9885-4ec1-9e95-45575ca2b4f8,carlisle,"Reece was very helpful not pushy, only disappointment was the fact you can't get any additional discount for paying in full I would have thought in this day and age it would be worth something v 4 or 5 yrs interest free whatever it was.",5,2025-02-17T21:59:15.000Z,2025-02-17T00:00:00.000Z
17180,False,False,False,False,,en,5fc2ce475e693f0b10047023,,Lindsey,invitation,,,"Thank you for your feedback, LIndsey. We appreciate your honesty about your experience with this and would love to investigate this further. So that we can, please contact our Support team at 1-800-216-5232.",2020-11-30T17:39:38.139Z,False,False,,,"Significantly overpriced equipment, salesperson didn’t mention he was checking my credit, he also didn’t follow up as he said.  I had to ask him how much and how long the equipment would be paid for before he even specified. I’m confused why it’s so costly when I already had an alarm system and all the tech did was change out a few pieces that were already there. When I finally had time to compare prices, I was going to cancel but he told me I had a week to cancel. The paperwork to cancel only said 3 days so it was too late.",2,2020-11-28T22:25:11.000Z,
16704,False,False,False,False,,en,6765af0b8d6cf0c8ab461a76,,Robin Marcus,invitation,,,"We're sorry this was your experience, Robin and want to look into this right aways.  Watch for our email so we can dig into this.",2025-02-01T01:22:56.000Z,False,False,,,"The tech and Vivint customer service couldn't align on pricing of the equipment, making it look as though Vivint is dishonest with their pricing. The tech took almost 4 hours to install simple equipment. The tech tried to upsell me on equipment that it was obvious I didn't need, equipment that I already had. There was supposed to be a survey presented to me at the end. It is shown on camera where the tech left, almost without giving me the default pin to get into the newly installed system, and then walked back up to my my walkway to ask for the pin to get into the survey. At the time of giving him the pin, I didn't realize what was taking place. I'm assuming he used the pin to fill out the survey for himself, giving himself great ratings that he did not deserve. ",1,2024-12-20T19:53:15.000Z,2024-12-20T00:00:00.000Z
