real,predict,text,pred_error
1,2,"My friend and I were browsing. My friend purchased a patio set and the egg swing.  I decided to also purchased the egg swing but I didn’t want to apply for the credit card, so the sales rep said “we have a program with zero percent apr for the first 3 months” so I said ok that sounds good, I applied and was approved then she said “you just have to put a down payment” I said that’s fine. We went to the front counter, my debit card was charged what I thought she said was the down payment. About a week after I saw the same item cheaper on their website, we came back for price adjustment, unfortunately the ladies up front seemed as if they did not know what they were doing, but finally they finished. Just a few days ago they deducted my second payment, I asked what was my payoff amount to make sure I’ll have the money before the 3 months, but noticed my first payment was not deducted, so here’s where I find out this company is a leasing company and that first charge was not a “down payment” like the sales rep told me, it was the processing fee for using this program. I was upset because the sales rep did not say there was any fees, she said my first charge was a down payment. I’ve bought from Klarna, zero apr for the first 3 months no additional fees, so that’s why I trusted what the sales rep had said. Only because our furniture is too heave we don’t return it and buy somewhere else, but I definitely will NOT recommend them. I know people looking for furniture but how can I recommend a place that I feel lied to me just to get the sale. Very very disappointed, won’t be going to this store ever again. 😌",1
1,2,I was to receive a free vivint sign and have not received it yet and that was over a month ago.,1
1,2,I had to make many many phone calls back and forth between RTG and the financing company to get this ordered.,1
1,3,So many issues with Vivint to list. Not going to waste any of my time explaining. Just make note I would highly recommend anyone else but Vivint!,2
1,3,Cuz you made me take this review,2
1,3,My coupon code for a purchase over $99 was not usable on my purchase with no explaination why,2
1,3,"I originally bought the theater recliner I always wanted. Had setup to be delivered that following Saturday to my new apartment. Didn't see a sofa that would fit in my little space and wasn't really sure what look I wanted to go for. A friend referred me to Ashley's after I told her I went to Rooms to go. So the next day I went and found a sofa and had that setup to be delivered that same following Saturday. I WAS SO EXCITED,  ESPECIALLY because I DIDN'T HAVE ANY SITTING FURNITURE YET OTHER THAN MY BED IN THE BEDROOM WHERE I WAS WAITING SINCE 6:30AM... Sometime around idk 9am I get a message ""Rooms to go driver trying to deliver. I'm like to myself, Okay well I'm here, direct line of sight to door, tv was on but not loud at all since it was still early. So guy must of knocked like a mouse and didn't even bother to call, text, knock again, try a little louder! Make your delivery. Think MCFLY! Someone ORDERED, BOUGHT, PAID FOR, AND SETUP A SOFA TO BE DELIVERED! THE JERK OBVIOUSLY DIDN'T WANT TO MAKE THE DELIVERY. INSTEAD HE WASTED MY TIME AND MONEY ""TIME IS MONEY"" HE WASTED THE COMPANY'S GAS, HE WOULD HAVE HAD TO MAKE ANOTHER ""ATTEMPT"" TO DELIVER AGAIN WASTING MORE OF THE COMPANY'S GAS; OH AND TIME AND MONEY BECAUSE ROOMS TO GO PAID HIM TO FAIL THE FIRST DELIVERY ""ATTEMPT"" AND AGAIN WOULD HAVE TO PAY HIM TO MAKE ANOTHER ""ATTEMPT"". HE DOESN'T CARE. HE JUST BURNS GAS ALL DAY EVERYDAY ON SOMEONE ELSE'S DOLLAR AND ON TOP OF ALL THAT I BET THE COMPANY'S CEO 51% SHARES THE DRIVER HAS THE NERVE TO BE RUDE TO EVERY CUSTOMER HE DELIVERS TO AND HAS TO SETUP FOR THEM LIKE ME. I READ THE REVIEWS, BUT I gave y'all a chance anyway and y'all proved all those negative reviews right.
So I canceled my order and now to make things worse, Now I have to wait two weeks for my refund. This is the kind of thing that makes people go CRAZY INSANE.
I found this one picture I'm ordering online and says UPS will deliver. I'd rather deal with those jerks than your delivery jerseys.
Thats it Rooms to go, I'm a returning customer from over ten years ago, my Family and I. But now it's time to part ways as I buy this last piece of decor from you; a small fraction of what I was willing and did just spend on a complete 3 piece sofa set at Ashley's.
Could of been your business but never again.",2
1,3,nothing but a middleman,2
1,3,I just purchased 2 appliances online. When checking out I chose the $49 next day delivery option for the dishwasher.  It also wanted an additional $49 for the ice maker to be delivered the next day too.  Why is there two separate delivery charges if they are purchased together and going to the same address?,2
1,3,The doorbell camera always fails when on deter mode. The driveway camera doesn't record far enough like the ring cameras do. Can't wait to drop vivint. ,2
1,3,delivery charge is very high compare with other stors,2
1,3,The first thing is that I ordered my furniture in February and just received it yesterday but not really because instead of my sofa wit loveseat that I purchased I got a sofa and chair,2
1,3,Billing was frustrating,2
1,4,The plants arrived in excellent condition and are very healthy specimens.,3
1,4,You guys are the best you done a great job I say a big weldone,3
1,4,How's it going,3
1,4,Thank you. Very helpful.,3
1,4,Take your time and just look at their website. I've bought everything from coffee makers to perfume. I've loved and enjoyed everything. Shopping now for Christmas.,3
1,4,"Very helpful and polite service 
Looking forward to having my
Funiture 
Thank you 
Alan Lovell ",3
1,4,I had lovely experience purching the sofa Moiz was very helpful n gave us good advice ,3
1,4,Plants a are doing great,3
1,4,Online shopping made easy!,3
1,4,"Five of my six plants were dry and dead.
However Bluestone refunded my money without a question.

I have never had a bad experience before with Bluestone,
excellent customer service.  They even put their phone number on the invoice, easy to find.

Their plant selection is great and I will probably order from them again.",3
1,5,Great store and great people serving ,4
1,5,everything was great.  Mercedes was so very helpful.  Thank you for a great shopping experience.  ,4
1,5,"I love NFM, whether shopping in the store or online, the process is always enjoyable.",4
1,5,Heathy plants and bulbs. Very prompt shipment.   I am never disappointed  with Bluestone.  I buy every year.,4
1,5,Awesome service and dependable products,4
1,5,I am very please with your plants and will continue to purchase from Bluestone.,4
1,5,"Another awesome canvas! Very happy, I will continue ordering from iCanvas.",4
2,1,I have ordered two items from your company and I have not received one yet one was to come in 29 of dec and the other on the 6th of jan but nothing yet I am not happy with your service thank you I still have not gotten my items I am very disappointed with your shipping and service you have lost my trust.,-1
2,1,this website sucks,-1
2,1,"Thought I was buying s shrub. I get weeds in the mulch bed over night bigger than what arrived in the mail. 

The size is fine for flowers. But if you’re looking for a shrub you’re better off spending the same amount of money at a garden store not paying for shipping and getting a huge plan instead of the tiny little thing they send. Def will not shop here again for shrubs. Flowers prob wil",-1
2,1,"Worst customer service I've ever experienced. Staff were unwelcoming, unprofessional and unhelpful. When purchasing the sofa, they failed to mention the additional costs I've been charged for, such as the delivery and cleaning kit.
There wasn't a large collection of sofas on display either. I was told via the online chat that the sofas I wished to see would be on display at this store, but after travelling 3 hours to visit the store, this was not the case.",-1
2,1,"Ordered 3 seater sofa and 2 matching arm chairs with electric operated folding foot rests. Furniture delivered on Thursday 29 September. 
Using footrests over the weekend, found that footrests on both chairs touching carpet and not folding correctly and jamming. Went to dundee store on Monday morning to see store manager. Advised that store would need to send out repair engineer and that he would adjust the mechanism on both chairs. Also faulty USB port on one chair. Repair engineer came out on Friday 14 October. Advised there is no adjustment on the mechanism and they would need to be replaced. Not able to get accurate time scale. I will be going back to store to look for working replacements urgently. Very unhappy customer.",-1
2,1,"Scam I say no way not me senior citizen I may say : On September 12,  2024 I was pick up 11:30am  by a staff of Park Toyota dealership in deland fl. I thought I was going there to get myself a affordable car, being that I am a substitute teacher and I was in need of a use or new car, I was recommend to see Mr.S Lawson, so I thought I meet a red head who was pushing and rushing me to buy a car, I keep asking him to show me a white and small high lifted car, but he ignore my request, I got a my car loan of 20 thousands and I walk out with Chevrlote Trailbrazer that had a funny jerking sound coming from the motor, and it had a string of smell of cirgrette it was unbearable. I am not a smoker, I return that car in three days because the pastor who had recommend me , told to do so, I return and explain to the staff my concerns not only fo the condition of the car but the price tag, They le time know that they were willing to accommodate me, they would do they best to find me a affordable car. This was the problem the  car was 16 thousand and in five years I would pay 35 thousand, does that sound like a good deal for a use car and it had four owner. Then I was introduce to a black saleperson by the name of C.J who file not one car loan but six request of a car loan under my name and my credit score was in the 6 figure and it went down to 5 figure, so now I have a bad credit report that would even help me to buy myself a car or even rent a apartment . I can't believe how this dealership works, take me a senior citizen for a ride and then try to scam me , I had a very bad headache that day and I couldn't read my contractor for sure they were happy about that, but when my head clear, I was in shock to see 21.97 percent and some other fee . I couldn't believe it , I was hanging from a rope and didn't even notice it .Well when they give me the second saleperson he mention something about being black, but in my case that wasn't the reason, I didn't like the first sale person but because he was rushing me pushing me and coercing me to buy now. I was on the phone with Direct auto and the sale person had me for 45 minutes on the phone and then there was commotion during the deal. it just add up that this dealership has a habit of taking senior citizen for a ride to the hang me if you can scam. I couldn't believe the price I would have to pay for a use car, no! Now the ripple effect my sister who much lighter then me had gone there and got a small new small car, I am dark skin, could this be the reason I wasn't treated with respect and courtesy . The second saleperson mention the color of my skins was that concern when I have cousin who are lighter and red headed then the first rude saleperson.  I will never go alone to a dealership , next time I bring a person who know about car,  and this dealership must stop picking up senior citizen alone and not company with someone who can help them decide which kind of car they interested in, What a nightmare this had become, why I stated a ripple effect because my sis stop buying food for herself and her dogs. I was feeding her but I stop because it not fair that I pay all the bills of the house and she doesn't cook or clean, then she get a new car while I have no car. She was living off me, but I am putting a stop to it, getting burn on both side of the candle isn't funny at all. Life is a struggle and to have people trying to scam you out of your living income is unlawful and down right criminal if you ask me. ",-1
2,1,Plants arrived bone dry and had brown leaves,-1
2,1,Not accepted by finance.i cannot get my order delivered.,-1
2,1,"I was to the point of inputting my credit card and a message pops up and says ""something went wrong"" and deleted everything and my cart was empty. Extremely frustrating to have to start all over finding the items and everything",-1
2,1,Crashed many times,-1
2,2,"The environmental haul away option was very frustrating because there were two options for in-home delivery. Originally I selected the 2-day in home delivery which prompted the environmental haul options to select, but I inadvertently cleared out my cart and had to reselect everything. when I got to the shipping, there was another in-home delivery option for $10 cheaper which would delivery tomorrow so I selected that, however, I couldn't get the environmental haul options to populate again and couldn't figure out why so I cleared out again and tried a few more times only to realize that those options won't populate on the $109 in home delivery option. it only populates on the 119 in home delivery option. if the options include something different, then put that in the description of the item so we can tell which one has a haul option and which one doesn't so we don't waste our time fumbling around looking for that option. The only description difference was that one would deliver tomorrow, and one would deliver in two days.",0
2,2,This is the first time we've ordered plants online since there are several very fine nurseries close by.  But with covid we are trying to avoid in person shopping.  This first order has been a major disappointment.  $300 worth of plants barely filled a nursery flat.  The plants are tiny and some were in poor shape.  Hopefully they will thrive once planted.  We will not be making an online order again.,0
2,2,Make sure the bills can be viewed online,0
2,2,I called twice because my app can no longer lift my garage. The first time I was promised a call back that I never received and the second time the representative hung up on me while I was on hold and did not bother calling back though they had my number.,0
2,2,I was hoping the actual plants were bigger than they were. A couple of them have already died  I garden every year with hundreds of plants.  I add to my garden as I live on 1.5 acres of property.  The expectance of the plants verses the size of the biodegradable containers was disappointing.,0
2,2,"When I got a Gettington  catalog I thought the prices were pretty good . That WAS UNTIL I GOT AN ONLINE INVOICE. They had charged me for two futons (I only ordered one ), called the # in the catalog .Was not the number I needed to call to again cancel one of the futons. Also the catalog  stated on the cover that on the first order I was to get $ 25.00 off plus FREE shipping. I had to be connected to another person who then told me that the Futon was not included in this order because it had a ""handling charge"" of $178.00 dollars. So with the price of the futon being $139 and ""handling charges of 179.00"" I am paying more for the handling than the futon. This is ridiculous. plus I can't get an online receipt that says I canceled the futon Or the shipping charges on the other stuff . Now I have to try to get someone one line again that will not have to transfer me to two different places. I guess I was lucky that two out of three telephone contacts spoke English well enough to be understood. Nothing  against these agents but it's bad because of their accent you have to ask them to repeat every thing three or more times. The invoice that was sent on line was the first one that I called to change. I got a feeling that the total bill(the incorrect one) is going to be hard as heck to get it right or not at all possible I would never ever ever again purchase anything from this firm. I was also that 5 minutes after I called to get the order it might be already shipped. I called immediately after I ordered ,maybe 4 min. later.",0
2,2,Very difficult for disabled person to try to purchase from your store,0
2,2,The checkout process did not flow as designed. I had to re-enter the credit card information twice.,0
2,2,I had the sofa delivered to my daughters address.There was no customer care at all .No hello to my daughter it was as rushed job as they couldnt find parking.They forgot to put on a part that belongs to the sofa.And now she is waiting to have this put right. Shes paid for this delivery service is wasnt free.This is bad customer setvice.,0
2,2,Technician scheduler and customer service sucks,0
2,3,"The initial installation happened fast, however the job was incomplete and I’ve had no luck getting anything subsequently accomplished.",1
2,3,"I made my choice based on free delivery.  This is my first order.  I still placed the order because I think I will love the item, but I think I will choose to spend my money elsewhere in the future.",1
2,3,"Initially all was great but, it has now been multiple weeks and I still don’t have all of my cameras or door lock",1
2,3,trying to order something for pick up took a act of congress to get thru. to many continue buttons to get the job done. what ever happened to i ordered this pu or del. payment info then review and order. its just that simple not all this technology that is not needed.,1
2,3,"I find the delivery charges €99 too high, considering that the item wont be received until 5 weeks since I ordered it.",1
2,3,"Really enjoyed the showroom experience, being walked through the products and what would fit best with what we wanted was a refreshing experience and I was ready to leave a 5 star review. 

However, apon looking at my order confirmation; which I wasn't shown in store, I have seen I have also been sold a £35 sofa care products I did not ask for, nor was asked I wanted. The salesman made a bit show of transparency and had another member of staff go through my order but while doing that he did not mention this additional product when reeling through my order. 

Feel a bit mis sold, and while yes it's ""only"" £35 but I will also be complaining to the store.",1
2,3,"Three of the flowers had all dried leaves. Not sure they will ""Take in the garden."" Tried watering them but to no avail. The other plants - DIervilla Kodiak Red - arrived in good shape.",1
2,3,"site is ok, this one product is worse than using old dial up. computer is that slow and hard to use",1
2,3,I was not given all of the information when I set up the install. I did not know the contract info. I also thought that going with a professional company that I wouldn't have wire running down my wall. ,1
2,3,The quality of the canvas was nice but it wasn’t centered and I had to have it restretchef.,1
2,4,"There were very few assistants available when I wanted to order my sofa. One person was talking with customers, one was talking on their phone and the other person sat in the office. I eventually was able to get someone to help me but I was made to feel that they didn't want me to make the purchase. They said they would give me the details of the order, then I could go home and order it online. I could also look for a code to get the delivery cheaper. Overall mot a great experience.",2
2,4,So friendly guy but didnt explain additional costs - then wrong colour ordered  - got sorted eventually i hope!!!,2
2,4,A great experience,2
2,4,Bluestone always gives great service.  My shipment arrived in poor condition.  The box had been crushed.  Due to Bluestone’s excellent packaging only one of the plants was damaged.  I called them and they are sending a replacement.  I appreciate their great customer service.,2
2,4,Good service,2
2,4,The quality and condition of the plants were pitiful on arrival,2
2,4,"Jemima, who works part time appeared to be the only employee with initiative.",2
2,4,Rushed the install never took old equipment down,2
2,4,Great service Super choice of products. Shirley Durn was brilliant,2
2,4,"The plant came in fairly good condition, but i thought $24.00 was pretty steep for what i got.",2
2,5,"I was contact the day of delivery, and was given accurate timeframes on delivery time. The customer service was amazing!",3
2,5,"The salesman was very friendly and helpful , explained clearly  everything about the products .
We are so grateful for the service.",3
2,5,"Very good service, gave all options and every questioned asked was answered clearly and concisely, MOS I spoke to name is Imran. Very knowledgable & informative. Thank You.",3
2,5,"Excellent service from start to finish.
Left alone to look around allowing us to take our time.  Waited for us to approach them.",3
2,5,Always a pleasure,3
3,1,"I was not informed that my delivery would only be partially delivered. I ordered a sofa and a TV unit, and received an email confirming delivery today (19/11/24) plus subsequent emails saying to make sure there was enough space. We moved the old sofa bed upstairs, and when the delivery arrived, no sofa. When I checked the tracking on the website, I found out that I’m not getting it until after 29/01/25. Which means the old sofa bed now has to come back downstairs. Not Happy",-2
3,1,I tried to order for almost three hours before it accepted my purchase,-2
3,1,"Horrible store experience, had to pay $50 to place online, and seems to be only store this weekend not doing a deal on these sets.",-2
3,1,Not getting the furniture not able to get the credit,-2
3,1,Stop sending out discontinued items,-2
3,1,"Dishonest about contract and customer perks, very shady and need a lawyer to read any upgrade or contract you sign .",-2
3,1,"£96 for eaziglide, daylight robbery . You should be ashamed",-2
3,1,"I had 2 issues when I received my order.  When I opened the box, I found that it had been packaged upsidedown, even though the box was clearly marked ""This Side Up"" which resulted in a lot of the soil in the plant's pots had fallen out during shipping!   My other problem was that I had ordered 19 plants, but only received 15!   No notice of a partial shipment.  So I called and cancelled the order for the missing 4.  I'm done with this nonsense.",-2
3,1,This site sucks,-2
3,1,"I learned that NFM will cancel your account for lack
of use even though I have been a member since 1989",-2
3,2,"The salesperson was very nice, but I was given the incorrect shipping price and also given the incorrect delivery date.  I asked for them to address this issue as the entire purchase was more than initially relayed to me.  They did not address it and were not helpful with those issues.  I liked the couch so bought it but I will think twice about shopping at this place again give those issues.",-1
3,2,"The system is fine. The customer support is horrible. You never get the same answer twice, the transfer process to a new owner of the home is a joke, and their responses make no sense. I was charged for another month of monitoring, despite not having access to my account because the transfer was already completed? Our experience since we got the system is that the equipment is fine but their support team is awful.",-1
3,2,I like the furniture. I have many pieces but have had terrible delivery every time.,-1
3,2,never seem to get free shipping. is that a scam?,-1
3,2,"We where welcomed into the showroom and given space to look around without feeling pressured into buying. When we decided on a sofa we wanted, the salesman where very approachable and chatty. 

Getting the finace agreement he Never confirmed (my) name when getting finance arranged(just assumed it was the same as my email address) therefore the wrong name given to finance company, I was never given any terms & conditions to sign but was told I would receive by email within 30mins of leaving shop.

I have spent most of my afternoon on the phone to DFS and the finance company trying to explain what a shambles of an experience we have had just because the man assumed my name was the same as my email address when it was not. Therefore the finance was unable to be accepted because there was no one with that name. Had the salesman been more thorough and done his job properly this was not have happened.",-1
3,2,not really impressed with cite once you check out a product it and go back it takes you  Back to the beginning so it takes too long to look for things,-1
3,2,The app is terrible and seems like anytime I actually need to use it it is unavailable. Cameras don’t have great low light visibility.,-1
3,2,Just received my plants and they were in pretty rough shape. Reserving judgement until they have a chance to recover,-1
3,2,The website is so slow!!,-1
3,2,"Do not like the price. The price kept going up for different ""promotional"" products. I like the cameras; however, you can buy them on Amazon for cheaper. ",-1
3,3,"SINCE MY ORDER WAS NOT DURING A FREE FREIGHT PERIOD & I HAD TO PAY FREIGHT, I CHOSE STANDARD DELIVERY & EVERYTHING SHOWED IN STOCK. THE 1ST PART OF THE ORDER SHIPPED 9/1 WITH AN ETA OF 9/5 -ACCEPTABLE. THE 2ND HALF SHIPPED 9/2 WITH AN ETA OF 9/14- TOTALLY UNACEPTABLE & RIDICULOUS SINCE IT IS COMING FROM KENTUCKY.",0
3,3,Didn't like that there's no way to cancel purchase within 24hr.time frame & then takes too long to receive purchase,0
3,3,Delivery charges are very high!,0
3,3,"When the billing address is different than the shipping address, the user interface is not intuitive on needing to hit update first then continue. Thanks!",0
3,3,"Convenient, yes. Not the same as in person sales experience. And not available to measure or offer dimensions.",0
3,3,"Website is easy to use, however round and smaller sized rug do not render correctly in the room visualizer. They display very small and are not able to be resized.  
Also, coupon code presented during use of room visualizer for 50% off MSRP was not accepted at checkout. ",0
3,3,"The staff in store were amazing, really friendly, knowledgeable and not too pushy. My only gripe is the website - I found it very slow and difficult to update. I wish I'd have gone back to the store to order but I just didn't have the time",0
3,3,Deliver  drivers where nice. But they did not have the slats for my new bed frame. Could not get them delivered the same day. Had to wait till the next day to get them delivered.,0
3,3,So far so good until I couldn’t open my document which was sent to sign it need to contact dfs. Will review again when and if my sofa arrives on time 😁,0
3,3,"I wasn’t expecting such young plants/shoots, the picture on the website depicted more mature plants.  Also, I had to remind the company of their delivery promise on the 27th March as I did not hear back.",0
3,4,"The date and time on the panel is incorrect. Otherwise the work was as expected and satisfactory.
The light on the garage is very good however it stays on night and day. Is this normal?",1
3,4,"Love the furniture, prices are a little steep and delivery charges are high.",1
3,4,Staff very attentive and helpful. Sofa looks great and we bought it but I think it’s a tad misleading to put price tags on sofas that are actually more expensive based on which fabric you choose. Lastly I think a £90 delivery charge is steep especially when competitors can do it for £30!,1
3,4,They were cordial and helpful. Good experience.,1
3,4,"I requested a call back in order to order a sofa. The call back did come, my questions were dealt with in a friendly and professional manner and I was able to place my order. My only reservation I have is that the call back didn't come until 9.30 at night. In my opinion this is not an appropriate time of day to be starting a business call.",1
3,4,"Great system overall! 
When I do have an issue with my system...customer service handles the issue with no problem and makes sure I'm satisfied. Gotta love it! 
Thanks Vivint!",1
3,4,The staff are friendly and approachable. They are very helpful as well. The only thing is that it takes  6-8 weeks waiting time for the furniture to arrive. So I’m still waiting hopefully they will come early tho. ,1
3,4,Very good still waiting to hear back excited about my new sofa,1
3,4,Delivery/set up fee was a big surprise at check-out,1
3,4,"I like shopping on gettington, but with almost every order I make there is one or two things that are on back order. There is a lot of products available so it is nice having a wide choice of variety.",1
3,5,Great customer service called on time and help and advice was given which resulted in a purchase.,2
3,5,Very easy to order on line and view what I wanted,2
3,5,Great AWESOME FRIENDLY,2
3,5,"Jason Nutley was the salesman we interacted with, he was friendly understanding and explained all options open to us he was also very professional and explained all the ways DFS try to ensure your customers are looked after 10 out of 10",2
3,5,"everything was fast and easy great customer service  very kind and patient  very respectful when it come to my order I had great saving for the holiday 
                    yes I will recommend  friends and family's member to Gettington.com",2
3,5,Very beautiful and exactly what I expected!,2
3,5,"Purchased my items on-line,great customer service. ",2
3,5,"Carlos has come to my home several times. He is VERY professional, pleasant and thorough. He tries his best to locate and resolve the issues",2
4,1,Explanations of size not good and plants were not good shape and they charged shipping. I will never order from here again ,-3
4,1,"I had this system installed about 45 days ago. And it's never worked. The alarm part works, but at least five cameras are out at any given time. I have done all of their reset procedures, and they refuse to send out a technician unless I pay for it. Absolutely the worst service ever.

UPDATE: I have been contacted and they are coming out to take a look. I will update as this progresses.

Update 2: The installer showed up and fixed one camera as the other 2 had started working on their own after 10+ days of not working. He also moved a motion sensor that was blocked by a shelf... to another room that already has a sensor. All this was done while I was on my way home to let them know about the other 2 cameras. They said they would wait at 1:33 pm. I was 15 mins away. They left at 1:44. So now my dining room has 2 motion detectors, and my living room has none. I just want to be done with this company.

Update 3: All is well. Everything works and Vivint has made it all right. I do wish it was easier to get this done, but in the end I am ok.",-3
4,1,Didn’t get email due to misspelled email address,-3
4,1,Costly last minute cancellation of install. Crazy how they wouldn’t give us first appointment. Didn’t care we had flown someone to be there for install. Cost us lots of money and last minute cancellation!,-3
4,1,Give it a shot!!!!,-3
4,1,im signed in and I keep receiving pop ups about creating an account. stop please.,-3
4,1,Purchased a cabinet for dishes that was on clearance. You refused to deliver. I was not told of this until the very end of my search. Very disappointed in your policies. Room One  needs to rethink this policy.,-3
4,1,Been over a week and job not yet complete,-3
4,1,"after I could not get discount on line, I place order on line. I also requested to have one item sent with two day shipping and it never happen",-3
4,1,They sold me my sofa!,-3
4,2,System continually told my by billing address did not match even though its the address defaulted by the site. I would have used my NFM card if the above had worked but got annoyed and used another card,-2
4,2,Very disappointed with the the excessive delivery Charge £129,-2
4,2,Not able to purchase insurance for my order,-2
